Topic,Count,Name,Representation,Representative_Docs
-1,1810,-1_language_natural_text_natural language,"['language', 'natural', 'text', 'natural language', 'recurrent', 'recurrent neural', 'representations', 'learning', 'processing', 'semantic']","['MASWS Natural Language and the SemanticWeb. ', 'Natural Language Processing', 'Introduction to Arabic Natural Language Processing. ']"
0,305,0_deep learning_deep_learning deep_learning,"['deep learning', 'deep', 'learning deep', 'learning', 'deep neural', 'learning tutorial', 'learning neural', 'frameworks', 'networks deep', 'learning frameworks']","['Deep Learning. ', 'Deep Learning', 'Deep Learning - The Straight Dope. ']"
1,283,1_tensorflow_tensorflow tutorial_tensorflow tutorials_learning tensorflow,"['tensorflow', 'tensorflow tutorial', 'tensorflow tutorials', 'learning tensorflow', 'tensorflow deep', 'using tensorflow', 'tutorials', 'tensor', 'tutorial tensorflow', 'learning research']","['Tensorflow NRE. ', 'TensorFlow Workshops', 'TensorFlow Fold. ']"
2,217,2_neural network_neural_neural networks_network,"['neural network', 'neural', 'neural networks', 'network', 'networks', 'artificial neural', 'backpropagation', 'networks neural', 'artificial', 'network scratch']","['Neural Networks Part 1. ', 'Neural Network: Learning', 'How to Find Wally with a Neural Network']"
3,176,3_reinforcement learning_reinforcement_deep reinforcement_learning,"['reinforcement learning', 'reinforcement', 'deep reinforcement', 'learning', 'policy', 'learning tensorflow', 'openai', 'game', 'learning introduction', 'dqn']","['Reinforcement Learning', 'Reinforcement Learning?—?Part 3', 'Reinforcement Learning?—?Part 1']"
4,151,4_machine learning_machine_introduction machine_learning algorithms,"['machine learning', 'machine', 'introduction machine', 'learning algorithms', 'algorithms', 'learning', 'learning machine', 'course', 'fun', 'learning theory']","['Machine Learning. ', 'Differentially Private Machine Learning', 'Machine-Learning. ']"
5,131,5_parsing_evaluation_qa_basics,"['parsing', 'evaluation', 'qa', 'basics', 'attachment', 'phrase', 'systems', 'language generation', 'probabilities', 'unification']","['Neural Parsing. ', 'Evaluation of Dependency Parsing. ', 'Parsing Evaluation. ']"
6,130,6_pattern_signs_em_story,"['pattern', 'signs', 'em', 'story', 'named', 'evaluations', 'figureqa', 'home', 'giving', 'common sense']","['Getting Started with Pattern. ', 'Pattern. ', 'Pattern. ']"
7,128,7_convolutional_convolutional neural_computer vision_vision,"['convolutional', 'convolutional neural', 'computer vision', 'vision', 'neural networks', 'computer', 'object', 'cnn', 'recognition', 'networks']","['Convolutional neural networks, Part 1', 'Convolutional Neural Networks', 'DL05: Convolutional Neural Networks']"
8,123,8_neural machine_translation_machine translation_machine,"['neural machine', 'translation', 'machine translation', 'machine', 'translation neural', 'neural', 'sequence', 'translation sequence', 'attention', 'character']","['Neural Machine Translation and Beyond. ', 'Thang Luongs Thesis on Neural Machine Translation. ', 'Neural Machine Translation. ']"
9,111,9_dialogue_dialogue systems_dialog_conversational,"['dialogue', 'dialogue systems', 'dialog', 'conversational', 'generation', 'systems', 'chatbots', 'end', 'language generation', 'spoken']","['Neural Dialogue Generation. ', 'Neural Dialogue Generation. ', 'Deep Learning for Dialogue Systems. ']"
10,99,10_gradient_descent_gradient descent_optimization,"['gradient', 'descent', 'gradient descent', 'optimization', 'calculus', 'convex', 'stochastic', 'learning lecture', 'lecture', 'derivatives']","['DL03: Gradient Descent', 'An overview of gradient descent optimization algorithms. ', 'An overview of gradient descent optimization algorithms']"
11,97,11_summarization_document_document summarization_text summarization,"['summarization', 'document', 'document summarization', 'text summarization', 'multi document', 'automatic', 'multi', 'summarization using', 'summaries', 'text']","['Potara: Multi-document summarization tool. ', 'Improving Multi-Document Summarization via Text Classification. ', 'Hierarchical Summarization: Scaling Up Multi-Document Summarization. ']"
12,87,12_language_language modeling_languages_modeling,"['language', 'language modeling', 'languages', 'modeling', 'language models', 'billion', 'character', 'language model', 'aware neural', 'low resource']","['Conditional Language Modeling. ', 'Language modeling a billion words. ', 'Parsing as Language Modeling. ']"
