LearningStyle_Cluster,Performance_Cluster,Affective_Cluster,Age,AssignmentCompletion,Attendance,Discussions,EduTech,ExamScore,Extracurricular,FinalGrade,Gender,Internet,LearningPerformance_Cluster,LearningStyle,Motivation,OnlineCourses,Resources,StressLevel,StudyHours
0,0,0,19,59,64,1,0,40,0,3,0,1,0,2,0,8,1,1,19
2,2,0,23,90,64,0,0,66,0,2,0,1,2,3,0,16,1,1,19
2,1,0,28,67,64,0,1,99,0,0,0,1,1,1,0,19,1,1,19
0,0,0,19,59,64,1,0,40,1,3,0,1,0,2,0,8,1,1,19
3,2,0,23,90,64,0,0,66,1,2,0,1,2,3,0,16,1,1,19
3,1,0,28,67,64,0,1,99,1,0,0,1,1,1,0,19,1,1,19
0,0,0,19,59,64,1,0,40,1,3,0,1,0,2,0,8,0,1,19
2,2,0,23,90,64,0,0,66,1,2,0,1,2,3,0,16,0,1,19
2,1,0,28,67,64,0,1,99,1,0,0,1,1,1,0,19,0,1,19
0,0,2,19,59,64,1,0,40,1,3,0,1,0,2,1,8,1,1,19
3,2,2,23,90,64,0,0,66,1,2,0,1,2,3,1,16,1,1,19
3,1,2,28,67,64,0,1,99,1,0,0,1,1,1,1,19,1,1,19
0,0,0,19,59,64,1,0,40,0,3,0,1,0,2,0,8,1,1,19
2,2,0,23,90,64,0,0,66,0,2,0,1,2,3,0,16,1,1,19
2,1,0,28,67,64,0,1,99,0,0,0,1,1,1,0,19,1,1,19
1,0,2,19,59,64,1,0,40,0,3,0,1,0,2,1,8,2,1,19
2,2,2,23,90,64,0,0,66,0,2,0,1,2,3,1,16,2,1,19
2,1,2,28,67,64,0,1,99,0,0,0,1,1,1,1,19,2,1,19
0,0,1,29,65,98,0,1,46,1,3,1,1,0,0,1,3,1,2,24
0,1,1,27,71,98,1,1,83,1,1,1,1,1,0,1,0,1,0,24
0,1,1,25,61,98,1,1,95,1,0,1,1,1,1,1,5,1,0,24
0,0,1,29,65,98,0,1,46,1,3,1,1,0,0,1,3,1,2,24
0,1,1,27,71,98,1,1,83,1,1,1,1,1,0,1,0,1,0,24
0,1,1,25,61,98,1,1,95,1,0,1,1,1,1,1,5,1,0,24
1,0,1,29,65,98,0,1,46,0,3,1,1,0,0,2,3,0,2,24
0,1,1,27,71,98,1,1,83,0,1,1,1,1,0,2,0,0,0,24
1,1,1,25,61,98,1,1,95,0,0,1,1,1,1,2,5,0,0,24
1,0,1,29,65,98,0,1,46,0,3,1,1,0,0,1,3,0,2,24
0,1,1,27,71,98,1,1,83,0,1,1,1,1,0,1,0,0,0,24
1,1,1,25,61,98,1,1,95,0,0,1,1,1,1,1,5,0,0,24
0,0,1,29,65,98,0,1,46,1,3,1,1,0,0,2,3,1,2,24
0,1,1,27,71,98,1,1,83,1,1,1,1,1,0,2,0,1,0,24
0,1,1,25,61,98,1,1,95,1,0,1,1,1,1,2,5,1,0,24
1,0,1,29,65,98,0,1,46,0,3,1,0,0,0,0,3,0,2,24
0,1,1,27,71,98,1,1,83,0,1,1,0,1,0,0,0,0,0,24
1,1,1,25,61,98,1,1,95,0,0,1,0,1,1,0,5,0,0,24
3,0,1,20,75,89,1,1,54,1,3,1,1,0,0,1,17,1,2,29
0,0,1,23,59,89,1,1,42,1,3,1,1,0,2,1,4,1,2,29
0,2,1,23,96,89,0,1,62,1,2,1,1,2,0,1,1,1,2,29
3,0,1,20,75,89,1,1,54,1,3,1,1,0,0,0,17,0,2,29
0,0,1,23,59,89,1,1,42,1,3,1,1,0,2,0,4,0,2,29
0,2,1,23,96,89,0,1,62,1,2,1,1,2,0,0,1,0,2,29
3,0,1,19,63,92,1,1,40,1,3,0,1,0,3,1,12,1,2,19
0,3,1,26,86,92,0,1,94,1,0,0,1,3,2,1,3,1,2,19
1,0,1,19,63,92,1,1,40,0,3,0,1,0,3,1,12,2,2,19
1,3,1,26,86,92,0,1,94,0,0,0,1,3,2,1,3,2,2,19
3,0,1,19,63,92,1,1,40,1,3,0,1,0,3,1,12,2,2,19
1,3,1,26,86,92,0,1,94,1,0,0,1,3,2,1,3,2,2,19
3,0,1,19,63,92,1,1,40,1,3,0,1,0,3,1,12,1,2,19
0,3,1,26,86,92,0,1,94,1,0,0,1,3,2,1,3,1,2,19
3,0,1,19,63,92,1,1,40,0,3,0,1,0,3,2,12,1,2,19
1,3,1,26,86,92,0,1,94,0,0,0,1,3,2,2,3,1,2,19
3,0,0,21,57,84,1,1,48,1,3,1,1,0,2,0,10,0,2,29
2,0,0,28,74,84,0,1,60,1,2,1,1,0,2,0,14,0,0,29
3,0,1,21,57,84,1,1,48,1,3,1,1,0,2,1,10,1,2,29
3,0,1,28,74,84,0,1,60,1,2,1,1,0,2,1,14,1,0,29
3,2,1,18,91,78,0,1,58,1,2,1,1,2,2,1,17,2,2,25
2,2,1,18,91,78,0,1,58,1,2,1,1,2,2,1,17,0,2,25
1,1,1,19,74,94,1,0,92,0,0,1,1,1,3,2,3,2,2,17
0,1,1,19,74,94,1,0,92,0,0,1,1,1,3,0,3,1,2,17
0,1,1,19,74,94,1,0,92,0,0,1,1,1,3,1,3,1,2,17
0,1,1,19,74,94,1,0,92,1,0,1,1,1,3,1,3,1,2,17
0,1,1,19,74,94,1,0,92,0,0,1,1,1,3,2,3,0,2,17
0,1,1,19,74,94,1,0,92,1,0,1,1,1,3,0,3,0,2,17
0,1,1,19,74,94,1,0,92,1,0,1,1,1,3,1,3,2,2,17
0,0,1,27,65,98,0,0,58,1,2,1,1,0,2,1,5,1,2,23
0,3,1,27,100,98,1,0,93,1,0,1,1,3,1,1,4,1,2,23
0,0,1,27,65,98,0,0,58,1,2,1,1,0,2,1,5,1,2,23
0,3,1,27,100,98,1,0,93,1,0,1,1,3,1,1,4,1,2,23
1,0,1,27,65,98,0,0,58,0,2,1,1,0,2,1,5,0,2,23
0,3,1,27,100,98,1,0,93,0,0,1,1,3,1,1,4,0,2,23
1,0,1,27,65,98,0,0,58,0,2,1,1,0,2,1,5,2,2,23
1,3,1,27,100,98,1,0,93,0,0,1,1,3,1,1,4,2,2,23
1,0,1,27,65,98,0,0,58,1,2,1,1,0,2,0,5,2,2,23
0,3,1,27,100,98,1,0,93,1,0,1,1,3,1,0,4,2,2,23
2,1,1,18,68,80,1,0,73,0,1,1,0,1,1,1,13,2,2,17
1,0,2,24,64,80,1,1,69,0,2,1,0,0,3,1,11,2,0,17
1,1,2,23,68,80,1,1,87,0,0,1,0,1,0,1,7,2,1,17
1,1,2,27,64,80,0,1,88,0,0,1,0,1,0,1,12,2,0,17
1,1,2,29,73,80,1,1,78,0,1,1,0,1,1,1,0,2,0,17
3,1,1,18,68,80,1,0,73,0,1,1,1,1,1,1,13,1,2,17
3,0,2,24,64,80,1,1,69,0,2,1,1,0,3,1,11,1,0,17
0,1,2,23,68,80,1,1,87,0,0,1,1,1,0,1,7,1,1,17
2,1,2,27,64,80,0,1,88,0,0,1,1,1,0,1,12,1,0,17
0,1,2,29,73,80,1,1,78,0,1,1,1,1,1,1,0,1,0,17
2,1,1,18,68,80,1,0,73,0,1,1,1,1,1,1,13,2,2,17
1,0,2,24,64,80,1,1,69,0,2,1,1,0,3,1,11,2,0,17
1,1,2,23,68,80,1,1,87,0,0,1,1,1,0,1,7,2,1,17
1,1,2,27,64,80,0,1,88,0,0,1,1,1,0,1,12,2,0,17
1,1,2,29,73,80,1,1,78,0,1,1,1,1,1,1,0,2,0,17
1,1,1,27,64,97,0,1,87,1,0,1,1,1,1,0,9,2,1,17
3,1,1,25,70,97,1,1,82,1,1,1,1,1,2,0,20,2,1,17
1,1,1,27,64,97,0,1,87,0,0,1,1,1,1,1,9,1,1,17
3,1,1,25,70,97,1,1,82,0,1,1,1,1,2,1,20,1,1,17
1,1,1,27,64,97,0,1,87,0,0,1,1,1,1,2,9,2,1,17
2,1,1,25,70,97,1,1,82,0,1,1,1,1,2,2,20,2,1,17
1,1,1,27,64,97,0,1,87,1,0,1,0,1,1,1,9,2,1,17
3,1,1,25,70,97,1,1,82,1,1,1,0,1,2,1,20,2,1,17
1,1,1,27,64,97,0,1,87,0,0,1,1,1,1,1,9,2,1,17
2,1,1,25,70,97,1,1,82,0,1,1,1,1,2,1,20,2,1,17
1,1,1,27,64,97,0,1,87,1,0,1,1,1,1,0,9,2,1,17
3,1,1,25,70,97,1,1,82,1,1,1,1,1,2,0,20,2,1,17
2,1,1,27,64,97,0,1,87,1,0,1,1,1,1,1,9,0,1,17
3,1,1,25,70,97,1,1,82,1,1,1,1,1,2,1,20,0,1,17
0,1,1,27,64,97,0,1,87,1,0,1,1,1,1,1,9,1,1,17
3,1,1,25,70,97,1,1,82,1,1,1,1,1,2,1,20,1,1,17
2,1,1,27,64,97,0,1,87,0,0,1,0,1,1,2,9,0,1,17
2,1,1,25,70,97,1,1,82,0,1,1,0,1,2,2,20,0,1,17
0,1,1,27,64,97,0,1,87,1,0,1,1,1,1,0,9,1,1,17
3,1,1,25,70,97,1,1,82,1,1,1,1,1,2,0,20,1,1,17
0,1,2,27,66,83,0,0,86,1,0,1,1,1,2,0,1,1,1,21
0,3,2,27,77,83,1,1,96,1,0,1,1,3,0,0,7,1,1,21
0,1,2,27,66,83,0,0,86,1,0,1,1,1,2,0,1,1,1,21
0,3,2,27,77,83,1,1,96,1,0,1,1,3,0,0,7,1,1,21
0,1,2,27,66,83,0,0,86,1,0,1,1,1,2,2,1,1,1,21
0,3,2,27,77,83,1,1,96,1,0,1,1,3,0,2,7,1,1,21
1,1,2,27,66,83,0,0,86,0,0,1,1,1,2,0,1,0,1,21
1,3,2,27,77,83,1,1,96,0,0,1,1,3,0,0,7,0,1,21
0,1,2,27,66,83,0,0,86,1,0,1,1,1,2,0,1,0,1,21
0,3,2,27,77,83,1,1,96,1,0,1,1,3,0,0,7,0,1,21
1,1,2,27,66,83,0,0,86,1,0,1,1,1,2,2,1,2,1,21
0,3,2,27,77,83,1,1,96,1,0,1,1,3,0,2,7,2,1,21
1,1,2,27,66,83,0,0,86,0,0,1,1,1,2,1,1,2,1,21
1,3,2,27,77,83,1,1,96,0,0,1,1,3,0,1,7,2,1,21
3,0,1,18,55,82,0,1,40,1,3,1,1,0,3,1,17,1,2,9
3,0,1,25,73,82,0,1,46,1,3,1,1,0,3,1,13,1,2,9
1,0,1,27,71,78,0,1,68,1,2,1,1,0,2,1,5,2,2,10
2,3,1,20,85,78,0,1,78,1,1,1,1,3,3,1,17,2,2,10
0,0,2,19,75,68,1,1,42,0,3,0,1,0,3,1,0,1,1,17
0,2,0,24,87,68,1,1,64,0,2,0,1,2,2,1,4,1,2,17
3,2,2,20,88,68,1,1,49,0,3,0,1,2,3,1,19,1,1,17
0,0,2,19,75,68,1,1,42,1,3,0,1,0,3,1,0,1,1,17
0,2,0,24,87,68,1,1,64,1,2,0,1,2,2,1,4,1,2,17
3,2,2,20,88,68,1,1,49,1,3,0,1,2,3,1,19,1,1,17
0,0,2,19,75,68,1,1,42,0,3,0,1,0,3,2,0,1,1,17
0,2,0,24,87,68,1,1,64,0,2,0,1,2,2,2,4,1,2,17
3,2,2,20,88,68,1,1,49,0,3,0,1,2,3,2,19,1,1,17
0,0,2,19,75,68,1,1,42,1,3,0,1,0,3,1,0,2,1,17
0,2,0,24,87,68,1,1,64,1,2,0,1,2,2,1,4,2,2,17
3,2,2,20,88,68,1,1,49,1,3,0,1,2,3,1,19,2,1,17
0,0,2,19,75,68,1,1,42,1,3,0,1,0,3,2,0,0,1,17
0,2,0,24,87,68,1,1,64,1,2,0,1,2,2,2,4,0,2,17
3,2,2,20,88,68,1,1,49,1,3,0,1,2,3,2,19,0,1,17
0,0,0,22,74,70,1,1,40,1,3,0,1,0,3,1,1,1,2,22
0,0,0,22,74,70,1,1,40,0,3,0,1,0,3,0,1,1,2,22
0,0,0,22,74,70,1,1,40,1,3,0,1,0,3,2,1,2,2,22
0,0,0,22,74,70,1,1,40,1,3,0,1,0,3,0,1,1,2,22
0,0,0,22,74,70,1,1,40,1,3,0,1,0,3,1,1,2,2,22
0,0,2,23,50,80,0,0,56,1,2,0,1,0,2,0,2,1,1,15
0,3,0,21,87,80,1,1,89,1,0,0,1,3,2,0,7,1,0,15
3,1,0,23,56,80,1,1,75,1,1,0,1,1,1,0,13,1,2,15
1,0,2,23,50,80,0,0,56,0,2,0,1,0,2,1,2,2,1,15
1,3,2,21,87,80,1,1,89,0,0,0,1,3,2,1,7,2,0,15
2,1,1,23,56,80,1,1,75,0,1,0,1,1,1,1,13,2,2,15
1,0,2,23,50,80,0,0,56,0,2,0,1,0,2,2,2,0,1,15
1,3,2,21,87,80,1,1,89,0,0,0,1,3,2,2,7,0,0,15
2,1,0,23,56,80,1,1,75,0,1,0,1,1,1,2,13,0,2,15
1,0,2,23,50,80,0,0,56,0,2,0,1,0,2,1,2,1,1,15
0,3,2,21,87,80,1,1,89,0,0,0,1,3,2,1,7,1,0,15
3,1,1,23,56,80,1,1,75,0,1,0,1,1,1,1,13,1,2,15
0,0,2,23,50,80,0,0,56,1,2,0,1,0,2,1,2,1,1,15
0,3,2,21,87,80,1,1,89,1,0,0,1,3,2,1,7,1,0,15
3,1,1,23,56,80,1,1,75,1,1,0,1,1,1,1,13,1,2,15
1,0,2,23,50,80,0,0,56,0,2,0,1,0,2,1,2,1,1,15
0,3,2,21,87,80,1,1,89,0,0,0,1,3,2,1,7,1,0,15
3,1,1,23,56,80,1,1,75,0,1,0,1,1,1,1,13,1,2,15
3,1,2,21,66,75,1,1,71,1,1,1,1,1,0,1,16,2,2,12
3,0,2,22,55,75,1,1,48,1,3,1,1,0,2,1,20,2,1,12
3,1,2,21,66,75,1,1,71,1,1,1,1,1,0,1,16,2,2,12
3,0,2,22,55,75,1,1,48,1,3,1,1,0,2,1,20,2,1,12
0,1,0,28,67,78,1,1,91,0,0,0,1,1,0,2,2,1,2,29
0,1,1,28,67,78,1,1,91,1,0,0,1,1,0,1,2,2,2,29
3,2,1,25,91,99,1,1,56,0,2,1,1,2,3,1,13,2,0,19
3,2,1,25,91,99,1,1,56,0,2,1,1,2,3,1,13,1,0,19
3,2,1,25,91,99,1,1,56,0,2,1,1,2,3,0,13,2,0,19
3,2,1,25,91,99,1,1,56,1,2,1,1,2,3,0,13,2,0,19
2,2,1,25,91,99,1,1,56,0,2,1,1,2,3,1,13,0,0,19
3,2,1,25,91,99,1,1,56,1,2,1,1,2,3,0,13,1,0,19
3,2,1,25,91,99,1,1,56,1,2,1,1,2,3,1,13,1,0,19
3,2,1,25,91,99,1,1,56,0,2,1,1,2,3,1,13,1,0,19
2,2,1,25,91,99,1,1,56,0,2,1,1,2,3,2,13,0,0,19
3,2,1,25,91,99,1,1,56,1,2,1,1,2,3,1,13,2,0,19
3,2,1,25,91,99,1,1,56,0,2,1,1,2,3,0,13,2,0,19
3,2,1,25,91,99,1,1,56,0,2,1,1,2,3,1,13,1,0,19
1,3,0,22,93,74,1,1,97,0,0,0,1,3,3,0,3,2,2,20
2,0,2,24,68,74,1,0,67,0,2,0,1,0,1,0,20,2,1,20
2,2,0,29,80,74,0,0,65,0,2,0,1,2,0,0,13,2,0,20
0,3,0,22,93,74,1,1,97,1,0,0,1,3,3,0,3,1,2,20
3,0,2,24,68,74,1,0,67,1,2,0,1,0,1,0,20,1,1,20
3,2,0,29,80,74,0,0,65,1,2,0,1,2,0,0,13,1,0,20
0,3,2,22,93,74,1,1,97,1,0,0,0,3,3,1,3,2,2,20
3,0,2,24,68,74,1,0,67,1,2,0,0,0,1,1,20,2,1,20
3,2,2,29,80,74,0,0,65,1,2,0,0,2,0,1,13,2,0,20
0,3,0,22,93,74,1,1,97,1,0,0,1,3,3,2,3,1,2,20
3,0,2,24,68,74,1,0,67,1,2,0,1,0,1,2,20,1,1,20
3,2,2,29,80,74,0,0,65,1,2,0,1,2,0,2,13,1,0,20
0,3,0,22,93,74,1,1,97,1,0,0,1,3,3,2,3,0,2,20
3,0,2,24,68,74,1,0,67,1,2,0,1,0,1,2,20,0,1,20
2,2,2,29,80,74,0,0,65,1,2,0,1,2,0,2,13,0,0,20
0,1,2,25,59,78,1,0,77,1,1,1,1,1,2,2,4,1,1,11
3,1,0,27,69,78,0,1,77,1,1,1,1,1,0,2,15,1,2,11
3,1,0,18,62,78,0,1,90,1,0,1,1,1,0,2,13,1,2,11
0,3,0,19,80,78,1,1,98,1,0,1,1,3,2,2,3,1,2,11
0,3,2,21,96,78,1,1,83,1,1,1,1,3,3,2,8,1,1,11
0,1,2,25,59,78,1,0,77,1,1,1,1,1,2,1,4,2,1,11
2,1,1,27,69,78,0,1,77,1,1,1,1,1,0,1,15,2,2,11
2,1,1,18,62,78,0,1,90,1,0,1,1,1,0,1,13,2,2,11
0,3,1,19,80,78,1,1,98,1,0,1,1,3,2,1,3,2,2,11
0,3,2,21,96,78,1,1,83,1,1,1,1,3,3,1,8,2,1,11
1,3,2,28,88,65,0,0,72,1,1,0,1,3,2,1,12,2,0,17
2,2,0,21,79,65,0,1,58,1,2,0,1,2,1,1,16,2,2,17
1,3,2,28,88,65,0,0,72,1,1,0,1,3,2,1,12,2,0,17
2,2,0,21,79,65,0,1,58,1,2,0,1,2,1,1,16,2,2,17
2,3,2,28,88,65,0,0,72,1,1,0,1,3,2,1,12,0,0,17
2,2,0,21,79,65,0,1,58,1,2,0,1,2,1,1,16,0,2,17
2,3,2,28,88,65,0,0,72,0,1,0,1,3,2,1,12,1,0,17
2,2,0,21,79,65,0,1,58,0,2,0,1,2,1,1,16,1,2,17
2,3,2,28,88,65,0,0,72,0,1,0,1,3,2,1,12,1,0,17
2,2,0,21,79,65,0,1,58,0,2,0,1,2,1,1,16,1,2,17
0,0,0,26,65,62,1,0,46,1,3,1,1,0,2,2,9,0,2,21
2,0,0,26,65,62,1,0,46,0,3,1,1,0,2,2,9,0,2,21
0,0,0,26,65,62,1,0,46,0,3,1,1,0,2,1,9,1,2,21
0,0,1,19,64,91,1,0,63,0,2,0,1,0,0,1,7,1,1,13
2,1,1,25,73,91,0,0,77,0,1,0,1,1,3,1,12,1,2,13
3,3,1,21,98,91,1,0,100,0,0,0,1,3,0,1,13,1,2,13
0,1,1,29,66,91,1,1,90,0,0,0,1,1,1,1,3,1,2,13
3,2,1,28,85,91,1,1,46,0,3,0,1,2,1,1,11,1,2,13
2,2,1,19,89,91,0,0,61,0,2,0,1,2,2,1,18,1,2,13
0,0,1,19,64,91,1,0,63,1,2,0,1,0,0,1,7,1,1,13
3,1,1,25,73,91,0,0,77,1,1,0,1,1,3,1,12,1,2,13
3,3,1,21,98,91,1,0,100,1,0,0,1,3,0,1,13,1,2,13
0,1,1,29,66,91,1,1,90,1,0,0,1,1,1,1,3,1,2,13
3,2,1,28,85,91,1,1,46,1,3,0,1,2,1,1,11,1,2,13
3,2,1,19,89,91,0,0,61,1,2,0,1,2,2,1,18,1,2,13
1,3,1,28,96,83,0,1,75,1,1,1,1,3,2,1,11,2,2,22
3,3,1,28,96,83,0,1,75,1,1,1,1,3,2,2,11,1,2,22
