Topic,Count,Name,Representation,Representative_Docs
-1,1810,-1_learning_language_neural_natural,"['learning', 'language', 'neural', 'natural', 'networks', 'text', 'natural language', 'deep', 'python', 'recurrent']","['Probability and Structure in Natural Language Processing Lecture 1. Noah Smith', 'Probability and Structure in Natural Language Processing Lecture 4. Noah Smith', 'Introduction to Arabic Natural Language Processing. Nizar Y. Habash. ']"
0,1621,0_learning_deep_deep learning_tensorflow,"['learning', 'deep', 'deep learning', 'tensorflow', 'machine learning', 'neural', 'machine', 'neural networks', 'reinforcement', 'reinforcement learning']","['Neural Networks and Deep Learning (Course 1 of the Deep Learning Specialization). Author Unknown. ', 'Machine Learning. Morteza Shahriari Nia. ', 'What Is A Neural Network – Deep Learning with Tensorflow – Part 1. Rishabh Jindal. ']"
1,809,1_translation_machine translation_word_language,"['translation', 'machine translation', 'word', 'language', 'neural machine', 'neural', 'machine', 'embeddings', 'parsing', 'natural language']","['Trends in Neural Machine Translation. Olof Mogren. ', 'A neural machine translation model in PyTorch. pcyin', 'Neural Machine Translation: Multilingual, Character-Level Machine Translation. Kyunghyun Cho. ']"
2,594,2_python_unknown_author unknown_author,"['python', 'unknown', 'author unknown', 'author', 'word2vec', 'pytorch', 'littell', 'patrick littell', 'patrick', 'dataset']","['Hetrec2011-Movielens-2k. Author Unknown. ', 'Stanza. Author Unknown. ', 'Wikianswers. Author Unknown. ']"
3,313,3_recurrent_dialogue_recurrent neural_networks,"['recurrent', 'dialogue', 'recurrent neural', 'networks', 'sequence', 'speech', 'neural', 'memory', 'long', 'term']","['Multi-domain Neural Network Language Generation for Spoken Dialogue Systems. Tsung-Hsien Wen, Milica Gasic, Nikola Mrksic, Lina M Rojas-Barahona, Pei-Hao Su, David Vandyke, Steve Young. ', 'Attention in Long Short-Term Memory Recurrent Neural Networks. Jason Brownlee. ', 'Reward Shaping with Recurrent Neural Networks for Speeding up On-Line Policy Learning in Spoken Dialogue Systems. Pei-Hao Su, David Vandyke, Milica Gasic, Nikola Mrksic, Tsung-Hsien Wen, Steve Young. ']"
4,180,4_summarization_document_text summarization_document summarization,"['summarization', 'document', 'text summarization', 'document summarization', 'multi document', 'text', 'based', 'automatic', 'image', 'multi']","['Syntactic Simplification for Improving Content Selection in Multi-document Summarization. Advaith Siddharthan, Ani Nenkova, Kathleen McKeown. ', 'Text Summarization With Amazon Rviews. David Currie', 'Potara: Multi-document summarization tool. sildar. ']"
5,175,5_clustering_graph_large_spectral,"['clustering', 'graph', 'large', 'spectral', 'social', 'supervised', 'networks', 'semi supervised', 'supervised learning', 'mining']","['Large Graph Mining: Power Tools and a Practitioner’s guide; Task 8: hadoop and Tera/Peta byte graphs. Christos Faloutsos, Gary Miller, Charalampos (Babis) Tsourakakis. ', 'Large Graph Mining: Power Tools and a Practitioner’s guide; Theory. Christos Faloutsos, Gary Miller, Charalampos (Babis) Tsourakakis. ', 'Large Graph Mining: Power Tools and a Practitioner’s guide; Task 5: Graphs over time & tensors. Christos Faloutsos, Gary Miller, Charalampos (Babis) Tsourakakis. ']"
6,139,6_probability_bayesian_markov_statistics,"['probability', 'bayesian', 'markov', 'statistics', 'inference', 'dustin', 'dustin stansbury', 'stansbury', 'probabilistic', 'introduction']","['BayesPy - Bayesian Python. Jaakko Luttinen. ', 'A Brief Introduction to Markov Chains. Dustin Stansbury. ', 'A Gentle Introduction to Markov Chain Monte Carlo (MCMC). Dustin Stansbury. ']"
7,131,7_dragomir_dragomir radev_radev_parsing,"['dragomir', 'dragomir radev', 'radev', 'parsing', 'summarization dragomir', 'evaluation', 'basics', 'qa', 'machine translation', 'translation']","['Poles Apart. Dragomir Radev. ', 'Spare the Rod. Dragomir Radev. ', 'IntroNLP. Dragomir Radev. ']"
8,130,8_adversarial_generative_generative adversarial_gans,"['adversarial', 'generative', 'generative adversarial', 'gans', 'autoencoders', 'generative models', 'networks', 'ian goodfellow', 'goodfellow', 'ian']","['Generative Adversarial Networks (GANs). Ian Goodfellow. ', 'Generative Adversarial Networks (GANs). Ian Goodfellow. ', 'gans: Generative Adversarial Networks. diegoalejogm']"
